City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,chulym,55.0997,80.9572,-13.61,96,8,2.84,RU,1675299302
213,kruisfontein,-34.0033,24.7314,61.16,78,9,5.95,ZA,1675298757
214,talcahuano,-36.7167,-73.1167,62.28,59,0,17.27,CL,1675299303
215,kavaratti,10.5669,72.642,79.88,76,83,10.07,IN,1675298752
216,najran,17.4924,44.1277,61.45,46,27,4.68,SA,1675299304
217,komsomolskiy,40.4272,71.7189,29.12,80,100,4.61,UZ,1675298820
218,klaksvik,62.2266,-6.589,34.72,64,100,6.35,FO,1675299256
219,tulsipur,28.131,82.2973,52.07,27,0,4.65,NP,1675299306
220,cockburn town,21.4612,-71.1419,76.96,69,40,13.8,TC,1675298816
221,plettenberg bay,-34.0527,23.3716,63.73,80,6,3.89,ZA,1675299307
222,kudahuvadhoo,2.6708,72.8944,80.11,65,44,12.28,MV,1675298714
223,aktau,43.65,51.2,30.78,82,100,3.78,KZ,1675299308
224,mayo,38.8876,-76.5119,36.14,60,0,5.75,US,1675299309
225,saldanha,-33.0117,17.9442,62.65,90,0,16.22,ZA,1675298790
226,puerto ayora,-0.7393,-90.3518,78.55,94,72,1.01,EC,1675299288
227,guiyang,26.5833,106.7167,43.29,100,100,8.95,CN,1675299312
228,tavda,58.0425,65.2726,15.69,95,98,4.07,RU,1675299313
229,uporovo,56.3109,66.2693,4.23,93,75,4.99,RU,1675299314
230,korla,41.7597,86.1469,18.46,80,8,3.44,CN,1675298872
231,uyuni,-20.4597,-66.825,56.95,37,74,19.8,BO,1675299315
232,ontario,34.0633,-117.6509,67.19,18,20,6.91,US,1675299231
233,nome,64.5011,-165.4064,16.16,92,100,0.0,US,1675299316
234,boa vista,2.8197,-60.6733,82.38,65,40,5.75,BR,1675298872
235,port elizabeth,-33.918,25.5701,67.32,87,0,11.5,ZA,1675299317
236,margate,51.3813,1.3862,45.88,76,70,5.01,GB,1675298615
237,bafq,31.6128,55.4107,53.47,66,27,12.01,IR,1675299319
238,fairhope,30.523,-87.9033,65.73,89,100,8.99,US,1675299320
239,barra do garcas,-15.89,-52.2567,74.1,90,100,1.14,BR,1675299320
240,ponta delgada,37.7333,-25.6667,52.52,76,20,6.91,PT,1675299321
241,fairbanks,64.8378,-147.7164,12.6,83,100,5.75,US,1675299305
242,urumqi,43.801,87.6005,0.55,92,40,4.47,CN,1675299324
243,malanje,-9.5402,16.341,62.4,98,100,1.28,AO,1675299325
244,san quintin,30.4833,-115.95,57.88,53,0,5.21,MX,1675298738
245,nemuro,43.3236,145.575,23.9,72,100,33.62,JP,1675299326
246,airai,-8.9266,125.4092,66.33,88,95,3.53,TL,1675299085
247,sao joao da barra,-21.6403,-41.0511,78.89,88,100,16.42,BR,1675298759
248,petropavlovsk-kamchatskiy,53.0452,158.6483,5.59,61,0,8.95,RU,1675298822
249,gizo,-8.103,156.8419,84.78,71,100,10.22,SB,1675299328
250,bartica,6.4,-58.6167,75.52,97,84,2.57,GY,1675299328
251,zabol,32.25,67.25,29.08,74,71,7.45,AF,1675298781
252,cherepovets,59.1333,37.9,23.94,97,100,7.9,RU,1675299330
253,ziro,27.6333,93.8333,41.45,81,1,2.75,IN,1675299330
254,aykhal,66.0,111.5,-25.82,100,97,4.12,RU,1675299331
255,cayenne,4.9333,-52.3333,73.44,100,100,2.3,GF,1675299032
256,balkanabat,39.5108,54.3671,40.71,82,5,2.35,TM,1675299332
257,mehran,33.1222,46.1646,52.65,62,0,8.37,IR,1675299333
258,santiago del estero,-27.7951,-64.2615,83.62,40,3,8.19,AR,1675299303
259,adeje,28.1227,-16.726,58.08,59,20,9.22,ES,1675299334
260,vitim,59.4511,112.5578,7.25,95,100,7.92,RU,1675299335
261,aksarayskiy,46.7924,48.0119,29.44,78,100,5.23,RU,1675299335
262,bayanday,53.0661,105.5139,-4.54,97,100,3.58,RU,1675299336
263,san patricio,28.017,-97.5169,39.83,89,100,11.88,US,1675299336
264,abu dhabi,24.4667,54.3667,66.22,55,0,4.61,AE,1675299337
265,rudbar,30.15,62.6,58.48,60,1,14.9,AF,1675299337
266,siocon,7.7061,122.1353,80.85,82,100,3.31,PH,1675299338
267,lavrentiya,65.5833,-171.0,16.11,93,100,5.99,RU,1675298544
268,iqaluit,63.7506,-68.5145,-24.07,57,75,5.75,CA,1675299338
269,kilindoni,-7.9139,39.6668,79.52,83,97,4.9,TZ,1675299339
270,faanui,-16.4833,-151.75,82.02,74,100,20.0,PF,1675299339
271,kavieng,-2.5744,150.7967,85.75,60,100,8.63,PG,1675299340
272,geraldton,-28.7667,114.6,91.81,27,0,19.57,AU,1675298819
273,westport,41.1415,-73.3579,33.78,49,0,5.75,US,1675299142
274,carballo,43.213,-8.691,45.86,92,1,3.94,ES,1675299048
275,longyearbyen,78.2186,15.6401,13.84,62,20,17.27,SJ,1675298860
276,mirabad,30.4362,61.8383,56.77,53,1,2.82,AF,1675299341
277,nantucket,41.2835,-70.0995,28.15,74,0,0.0,US,1675298774
278,hirara,24.8,125.2833,68.27,88,75,18.41,JP,1675299342
279,murwara,23.85,80.4,49.78,42,12,2.93,IN,1675299342
280,nouadhibou,20.931,-17.0347,62.58,63,100,18.41,MR,1675299343
281,zgierz,51.8556,19.4062,36.84,95,75,14.97,PL,1675299343
282,labuhan,-6.8844,112.2051,79.03,81,100,6.51,ID,1675298797
283,roald,62.5833,6.1333,34.75,93,20,11.5,NO,1675298892
284,chuy,-33.6971,-53.4616,71.49,80,25,9.04,UY,1675299344
285,temozon,20.8,-88.2167,73.6,71,4,5.57,MX,1675299344
286,methoni,36.8197,21.7049,44.22,63,2,11.14,GR,1675299345
